"film_id","title","rating","film_category","rental_cost","avg_rental_cost_by_rating_and_category","rental_cost_compared_to_avg"
357,"Gilbert Pelican","G","Classics","0.99","2.08","-1.09"
445,"Hyde Doctor","G","Classics","2.99","2.08","0.91"
537,"Lover Truman","G","Classics","2.99","2.08","0.91"
196,"Cruelty Unforgiven","G","Classics","0.99","2.08","-1.09"
862,"Summer Scarface","G","Classics","0.99","2.08","-1.09"
166,"Color Philadelphia","G","Classics","2.99","2.08","0.91"
604,"Mulan Moon","G","Comedy","0.99","2.63","-1.64"
638,"Operation Operation","G","Comedy","2.99","2.63","0.36"
529,"Lonely Elephant","G","Comedy","2.99","2.63","0.36"
178,"Connection Microcosmos","G","Comedy","0.99","2.63","-1.64"
202,"Daddy Pittsburgh","G","Comedy","4.99","2.63","2.36"
932,"Valley Packer","G","Comedy","0.99","2.63","-1.64"
182,"Control Anthem","G","Comedy","4.99","2.63","2.36"
478,"Jaws Harry","G","Comedy","2.99","2.63","0.36"
119,"Caper Motions","G","Comedy","0.99","2.63","-1.64"
127,"Cat Coneheads","G","Comedy","4.99","2.63","2.36"
247,"Downhill Enough","G","Comedy","0.99","2.63","-1.64"
622,"Newsies Story","G","Documentary","0.99","2.28","-1.29"
497,"Kill Brotherhood","G","Documentary","0.99","2.28","-1.29"
960,"Wars Pluto","G","Documentary","2.99","2.28","0.71"
58,"Beach Heartbreakers","G","Documentary","2.99","2.28","0.71"
834,"Spoilers Hellfighters","G","Documentary","0.99","2.28","-1.29"
206,"Dancing Fever","G","Documentary","0.99","2.28","-1.29"
85,"Bonnie Holocaust","G","Documentary","0.99","2.28","-1.29"
757,"Sagebrush Clueless","G","Documentary","2.99","2.28","0.71"
412,"Heavyweights Beast","G","Documentary","4.99","2.28","2.71"
650,"Pacific Amistad","G","Documentary","0.99","2.28","-1.29"
261,"Duffel Apocalypse","G","Documentary","0.99","2.28","-1.29"
575,"Midsummer Groundhog","G","Documentary","4.99","2.28","2.71"
996,"Young Language","G","Documentary","0.99","2.28","-1.29"
156,"Clerks Angels","G","Documentary","4.99","2.28","2.71"
897,"Torque Bound","G","Drama","4.99","3.49","1.50"
758,"Saints Bride","G","Drama","2.99","3.49","-0.50"
585,"Mob Duffel","G","Drama","0.99","3.49","-2.50"
107,"Bunch Minds","G","Drama","2.99","3.49","-0.50"
969,"West Lion","G","Drama","4.99","3.49","1.50"
958,"Wardrobe Phantom","G","Drama","2.99","3.49","-0.50"
366,"Goldfinger Sensibility","G","Drama","0.99","3.49","-2.50"
179,"Conquerer Nuts","G","Drama","4.99","3.49","1.50"
396,"Hanging Deep","G","Drama","4.99","3.49","1.50"
146,"Chitty Lock","G","Drama","2.99","3.49","-0.50"
230,"Diary Panic","G","Drama","2.99","3.49","-0.50"
61,"Beauty Grease","G","Drama","4.99","3.49","1.50"
83,"Blues Instinct","G","Family","2.99","2.99","0.00"
43,"Atlantis Cause","G","Family","2.99","2.99","0.00"
145,"Chisum Behavior","G","Family","4.99","2.99","2.00"
80,"Blanket Beverly","G","Family","2.99","2.99","0.00"
50,"Baked Cleopatra","G","Family","2.99","2.99","0.00"
82,"Blood Argonauts","G","Family","0.99","2.99","-2.00"
778,"Secrets Paradise","G","Family","4.99","2.99","2.00"
5,"African Egg","G","Family","2.99","2.99","0.00"
419,"Hocus Frida","G","Family","2.99","2.99","0.00"
377,"Grease Youth","G","Family","0.99","2.99","-2.00"
440,"Hunger Roof","G","Foreign","0.99","2.37","-1.38"
128,"Catch Amistad","G","Foreign","0.99","2.37","-1.38"
376,"Grapes Fury","G","Foreign","0.99","2.37","-1.38"
52,"Ballroom Mockingbird","G","Foreign","0.99","2.37","-1.38"
770,"Scissorhands Slums","G","Foreign","2.99","2.37","0.62"
399,"Happiness United","G","Foreign","2.99","2.37","0.62"
104,"Bugsy Song","G","Foreign","2.99","2.37","0.62"
467,"Intrigue Worst","G","Foreign","0.99","2.37","-1.38"
567,"Meet Chocolate","G","Foreign","2.99","2.37","0.62"
11,"Alamo Videotape","G","Foreign","0.99","2.37","-1.38"
908,"Trap Guys","G","Foreign","4.99","2.37","2.62"
957,"War Notting","G","Foreign","4.99","2.37","2.62"
431,"Hoosiers Birdcage","G","Foreign","2.99","2.37","0.62"
217,"Dazed Punk","G","Games","4.99","3.35","1.64"
46,"Autumn Crow","G","Games","4.99","3.35","1.64"
387,"Gun Bonnie","G","Games","0.99","3.35","-2.36"
597,"Moonwalker Fool","G","Games","4.99","3.35","1.64"
919,"Tycoon Gathering","G","Games","4.99","3.35","1.64"
281,"Encino Elf","G","Games","0.99","3.35","-2.36"
302,"Fantasia Park","G","Games","2.99","3.35","-0.36"
762,"Sassy Packer","G","Games","0.99","3.35","-2.36"
264,"Dwarfs Alter","G","Games","2.99","3.35","-0.36"
654,"Panky Submarine","G","Games","4.99","3.35","1.64"
106,"Bulworth Commandments","G","Games","2.99","3.35","-0.36"
702,"Pulp Beverly","G","Horror","2.99","2.77","0.22"
4,"Affair Prejudice","G","Horror","2.99","2.77","0.22"
737,"Rock Instinct","G","Horror","0.99","2.77","-1.78"
313,"Fidelity Devil","G","Horror","4.99","2.77","2.22"
653,"Panic Club","G","Horror","4.99","2.77","2.22"
965,"Watership Frontier","G","Horror","0.99","2.77","-1.78"
593,"Monterey Labyrinth","G","Horror","0.99","2.77","-1.78"
475,"Japanese Run","G","Horror","0.99","2.77","-1.78"
2,"Ace Goldfinger","G","Horror","4.99","2.77","2.22"
718,"Rebel Airport","G","Music","0.99","0.99","0.00"
581,"Minority Kiss","G","Music","0.99","0.99","0.00"
289,"Eve Resurrection","G","New","4.99","3.66","1.33"
25,"Angels Life","G","New","2.99","3.66","-0.67"
920,"Unbreakable Karate","G","New","0.99","3.66","-2.67"
490,"Jumanji Blade","G","New","2.99","3.66","-0.67"
226,"Destiny Saturday","G","New","4.99","3.66","1.33"
109,"Butterfly Chocolat","G","New","0.99","3.66","-2.67"
216,"Day Unfaithful","G","New","4.99","3.66","1.33"
95,"Breakfast Goldfinger","G","New","4.99","3.66","1.33"
77,"Birds Perdition","G","New","4.99","3.66","1.33"
760,"Samurai Lion","G","New","2.99","3.66","-0.67"
22,"Amistad Midsummer","G","New","2.99","3.66","-0.67"
954,"Wake Jaws","G","New","4.99","3.66","1.33"
153,"Citizen Shrek","G","Sci-Fi","0.99","2.99","-2.00"
559,"Married Go","G","Sci-Fi","2.99","2.99","0.00"
350,"Garden Island","G","Sci-Fi","4.99","2.99","2.00"
140,"Cheaper Clyde","G","Sci-Fi","0.99","2.99","-2.00"
860,"Suicides Silence","G","Sci-Fi","4.99","2.99","2.00"
165,"Coldblooded Darling","G","Sci-Fi","4.99","2.99","2.00"
26,"Annie Identity","G","Sci-Fi","0.99","2.99","-2.00"
39,"Armageddon Lost","G","Sci-Fi","0.99","2.99","-2.00"
203,"Daisy Menagerie","G","Sci-Fi","4.99","2.99","2.00"
55,"Barbarella Streetcar","G","Sci-Fi","2.99","2.99","0.00"
612,"Mussolini Spoilers","G","Sports","2.99","3.17","-0.18"
764,"Saturday Lambs","G","Sports","4.99","3.17","1.82"
763,"Satisfaction Confidential","G","Sports","4.99","3.17","1.82"
678,"Pickup Driving","G","Sports","2.99","3.17","-0.18"
631,"Novocaine Flight","G","Sports","0.99","3.17","-2.18"
260,"Dude Blindness","G","Sports","4.99","3.17","1.82"
598,"Mosquito Armageddon","G","Sports","0.99","3.17","-2.18"
519,"Liberty Magnificent","G","Sports","2.99","3.17","-0.18"
322,"Flatliners Killer","G","Sports","2.99","3.17","-0.18"
293,"Exorcist Sting","G","Sports","2.99","3.17","-0.18"
237,"Divorce Shining","G","Sports","2.99","3.17","-0.18"
811,"Smile Earring","G","Travel","2.99","3.54","-0.55"
787,"Shining Roses","G","Travel","0.99","3.54","-2.55"
75,"Bird Independence","G","Travel","4.99","3.54","1.45"
903,"Traffic Hobbit","G","Travel","4.99","3.54","1.45"
224,"Desperate Trainspotting","G","Travel","4.99","3.54","1.45"
878,"Teen Apollo","G","Travel","4.99","3.54","1.45"
257,"Drumline Cyclone","G","Travel","0.99","3.54","-2.55"
472,"Italian African","G","Travel","4.99","3.54","1.45"
609,"Muscle Bright","G","Travel","2.99","3.54","-0.55"
123,"Casablanca Super","G","Travel","4.99","3.54","1.45"
848,"Stone Fire","G","Travel","0.99","3.54","-2.55"
664,"Patriot Roman","PG","Action","2.99","2.55","0.44"
327,"Fool Mockingbird","PG","Action","4.99","2.55","2.44"
194,"Crow Grease","PG","Action","0.99","2.55","-1.56"
869,"Suspects Quills","PG","Action","2.99","2.55","0.44"
991,"Worst Banger","PG","Action","2.99","2.55","0.44"
586,"Mockingbird Hollywood","PG","Action","0.99","2.55","-1.56"
252,"Dream Pickup","PG","Action","2.99","2.55","0.44"
19,"Amadeus Holy","PG","Action","0.99","2.55","-1.56"
802,"Sky Miracle","PG","Action","2.99","2.55","0.44"
644,"Oscar Gold","PG","Animation","2.99","3.17","-0.18"
564,"Massage Image","PG","Animation","2.99","3.17","-0.18"
134,"Champion Flatliners","PG","Animation","4.99","3.17","1.82"
433,"Horn Working","PG","Animation","2.99","3.17","-0.18"
121,"Carol Texas","PG","Animation","2.99","3.17","-0.18"
693,"Potter Connecticut","PG","Animation","2.99","3.17","-0.18"
703,"Punk Divorce","PG","Animation","4.99","3.17","1.82"
743,"Room Roman","PG","Animation","0.99","3.17","-2.18"
78,"Blackout Private","PG","Animation","2.99","3.17","-0.18"
859,"Sugar Wonka","PG","Animation","4.99","3.17","1.82"
963,"Watch Tracy","PG","Animation","0.99","3.17","-2.18"
547,"Magic Mallrats","PG","Children","0.99","3.26","-2.27"
755,"Sabrina Midnight","PG","Children","4.99","3.26","1.73"
761,"Santa Paris","PG","Children","2.99","3.26","-0.27"
515,"Legally Secretary","PG","Children","4.99","3.26","1.73"
485,"Jersey Sassy","PG","Children","4.99","3.26","1.73"
343,"Full Flatliners","PG","Children","2.99","3.26","-0.27"
423,"Hollywood Anonymous","PG","Children","0.99","3.26","-2.27"
608,"Murder Antitrust","PG","Children","2.99","3.26","-0.27"
883,"Tequila Past","PG","Children","4.99","3.26","1.73"
896,"Tootsie Pilot","PG","Children","0.99","3.26","-2.27"
468,"Invasion Cyclone","PG","Children","2.99","3.26","-0.27"
918,"Twisted Pirates","PG","Children","4.99","3.26","1.73"
928,"Uptown Young","PG","Children","2.99","3.26","-0.27"
955,"Walls Artist","PG","Children","4.99","3.26","1.73"
688,"Polish Brooklyn","PG","Children","0.99","3.26","-2.27"
341,"Frost Head","PG","Classics","0.99","3.39","-2.40"
536,"Lovely Jingle","PG","Classics","2.99","3.39","-0.40"
874,"Tadpole Park","PG","Classics","2.99","3.39","-0.40"
131,"Center Dinosaur","PG","Classics","4.99","3.39","1.60"
962,"Wasteland Divine","PG","Classics","2.99","3.39","-0.40"
91,"Bound Cheaper","PG","Classics","0.99","3.39","-2.40"
37,"Arizona Bang","PG","Classics","2.99","3.39","-0.40"
469,"Iron Moon","PG","Classics","4.99","3.39","1.60"
950,"Volume House","PG","Classics","4.99","3.39","1.60"
611,"Musketeers Wait","PG","Classics","4.99","3.39","1.60"
443,"Hurricane Affair","PG","Comedy","2.99","2.87","0.12"
680,"Pinocchio Simon","PG","Comedy","4.99","2.87","2.12"
906,"Tramp Others","PG","Comedy","0.99","2.87","-1.88"
555,"Mallrats United","PG","Comedy","0.99","2.87","-1.88"
265,"Dying Maker","PG","Comedy","4.99","2.87","2.12"
404,"Hate Handicap","PG","Comedy","0.99","2.87","-1.88"
410,"Heaven Freedom","PG","Comedy","2.99","2.87","0.12"
188,"Crazy Home","PG","Comedy","2.99","2.87","0.12"
871,"Sweden Shining","PG","Comedy","4.99","2.87","2.12"
660,"Party Knock","PG","Comedy","2.99","2.87","0.12"
814,"Snatch Slipper","PG","Comedy","4.99","2.87","2.12"
317,"Fireball Philadelphia","PG","Comedy","0.99","2.87","-1.88"
837,"Stage World","PG","Comedy","2.99","2.87","0.12"
308,"Ferris Mother","PG","Comedy","2.99","2.87","0.12"
99,"Bringing Hysterical","PG","Comedy","2.99","2.87","0.12"
524,"Lion Uncut","PG","Comedy","0.99","2.87","-1.88"
1,"Academy Dinosaur","PG","Documentary","0.99","2.62","-1.63"
72,"Bill Others","PG","Documentary","2.99","2.62","0.37"
142,"Chicken Hellfighters","PG","Documentary","0.99","2.62","-1.63"
150,"Cider Desire","PG","Documentary","2.99","2.62","0.37"
164,"Coast Rainbow","PG","Documentary","0.99","2.62","-1.63"
274,"Egg Igby","PG","Documentary","2.99","2.62","0.37"
295,"Expendable Stallion","PG","Documentary","0.99","2.62","-1.63"
336,"French Holiday","PG","Documentary","4.99","2.62","2.37"
552,"Majestic Floats","PG","Documentary","0.99","2.62","-1.63"
576,"Mighty Luck","PG","Documentary","2.99","2.62","0.37"
589,"Modern Dorado","PG","Documentary","0.99","2.62","-1.63"
670,"Pelican Comforts","PG","Documentary","4.99","2.62","2.37"
713,"Rainbow Shock","PG","Documentary","4.99","2.62","2.37"
776,"Secret Groundhog","PG","Documentary","4.99","2.62","2.37"
952,"Wagon Jaws","PG","Documentary","2.99","2.62","0.37"
966,"Wedding Apollo","PG","Documentary","0.99","2.62","-1.63"
706,"Queen Luke","PG","Drama","4.99","2.42","2.57"
204,"Dalmations Sweden","PG","Drama","0.99","2.42","-1.43"
618,"Necklace Outbreak","PG","Drama","0.99","2.42","-1.43"
143,"Chill Luck","PG","Drama","0.99","2.42","-1.43"
910,"Treatment Jekyll","PG","Drama","0.99","2.42","-1.43"
662,"Paths Control","PG","Drama","4.99","2.42","2.57"
772,"Sea Virgin","PG","Drama","2.99","2.42","0.57"
273,"Effect Gladiator","PG","Family","0.99","2.99","-2.00"
345,"Gables Metropolis","PG","Family","0.99","2.99","-2.00"
679,"Pilot Hoosiers","PG","Family","2.99","2.99","0.00"
603,"Movie Shakespeare","PG","Family","4.99","2.99","2.00"
63,"Bedazzled Married","PG","Family","0.99","2.99","-2.00"
715,"Range Moonwalker","PG","Family","4.99","2.99","2.00"
832,"Splash Gump","PG","Family","0.99","2.99","-2.00"
780,"Sensibility Rear","PG","Family","4.99","2.99","2.00"
479,"Jedi Beneath","PG","Family","0.99","2.99","-2.00"
359,"Gladiator Westward","PG","Family","4.99","2.99","2.00"
727,"Resurrection Silverado","PG","Family","0.99","2.99","-2.00"
557,"Manchurian Curtain","PG","Family","2.99","2.99","0.00"
753,"Rush Goodfellas","PG","Family","0.99","2.99","-2.00"
639,"Opposite Necklace","PG","Family","4.99","2.99","2.00"
867,"Super Wyoming","PG","Family","4.99","2.99","2.00"
695,"President Bang","PG","Family","4.99","2.99","2.00"
139,"Chasing Fight","PG","Family","4.99","2.99","2.00"
810,"Slums Duck","PG","Family","0.99","2.99","-2.00"
185,"Cowboy Doom","PG","Foreign","2.99","2.56","0.43"
595,"Moon Bunch","PG","Foreign","0.99","2.56","-1.57"
207,"Dangerous Uptown","PG","Foreign","4.99","2.56","2.43"
623,"Newton Labyrinth","PG","Foreign","0.99","2.56","-1.57"
290,"Everyone Craft","PG","Foreign","0.99","2.56","-1.57"
605,"Mulholland Beast","PG","Foreign","2.99","2.56","0.43"
380,"Greek Everyone","PG","Foreign","2.99","2.56","0.43"
414,"Hellfighters Sierra","PG","Foreign","2.99","2.56","0.43"
201,"Cyclone Family","PG","Foreign","2.99","2.56","0.43"
607,"Muppet Mile","PG","Foreign","4.99","2.56","2.43"
6,"Agent Truman","PG","Foreign","2.99","2.56","0.43"
689,"Pollock Deliverance","PG","Foreign","2.99","2.56","0.43"
674,"Pet Haunting","PG","Foreign","0.99","2.56","-1.57"
311,"Fiction Christmas","PG","Foreign","0.99","2.56","-1.57"
699,"Private Drop","PG","Games","4.99","4.19","0.80"
624,"Nightmare Chill","PG","Games","4.99","4.19","0.80"
591,"Monsoon Cause","PG","Games","4.99","4.19","0.80"
215,"Dawn Pond","PG","Games","4.99","4.19","0.80"
382,"Grit Clockwork","PG","Games","0.99","4.19","-3.20"
258,"Drums Dynamite","PG","Horror","0.99","3.16","-2.17"
65,"Behavior Runaway","PG","Horror","4.99","3.16","1.83"
351,"Gaslight Crusade","PG","Horror","2.99","3.16","-0.17"
13,"Ali Forever","PG","Horror","4.99","3.16","1.83"
527,"Lola Agent","PG","Horror","4.99","3.16","1.83"
665,"Patton Interview","PG","Horror","2.99","3.16","-0.17"
275,"Egypt Tenenbaums","PG","Horror","0.99","3.16","-2.17"
506,"Lady Stage","PG","Horror","4.99","3.16","1.83"
881,"Temple Attraction","PG","Horror","4.99","3.16","1.83"
495,"Kentuckian Giant","PG","Horror","2.99","3.16","-0.17"
122,"Carrie Bunch","PG","Horror","0.99","3.16","-2.17"
600,"Motions Details","PG","Horror","0.99","3.16","-2.17"
12,"Alaska Phantom","PG","Music","0.99","2.79","-1.80"
74,"Birch Antitrust","PG","Music","4.99","2.79","2.20"
516,"Legend Jedi","PG","Music","0.99","2.79","-1.80"
477,"Jawbreaker Brooklyn","PG","Music","0.99","2.79","-1.80"
879,"Telegraph Voyage","PG","Music","4.99","2.79","2.20"
636,"Oleander Clue","PG","Music","0.99","2.79","-1.80"
592,"Monster Spartacus","PG","Music","2.99","2.79","0.20"
983,"Won Dares","PG","Music","2.99","2.79","0.20"
980,"Wizard Coldblooded","PG","Music","4.99","2.79","2.20"
987,"Words Hunter","PG","Music","2.99","2.79","0.20"
847,"Stock Glass","PG","New","2.99","3.43","-0.44"
144,"Chinatown Gladiator","PG","New","4.99","3.43","1.56"
551,"Maiden Home","PG","New","4.99","3.43","1.56"
590,"Money Harold","PG","New","2.99","3.43","-0.44"
93,"Brannigan Sunrise","PG","New","4.99","3.43","1.56"
481,"Jekyll Frogmen","PG","New","2.99","3.43","-0.44"
305,"Fatal Haunted","PG","New","2.99","3.43","-0.44"
635,"Oklahoma Jumanji","PG","New","0.99","3.43","-2.44"
806,"Sleepy Japanese","PG","New","2.99","3.43","-0.44"
893,"Titans Jerk","PG","Sci-Fi","4.99","3.32","1.67"
369,"Goodfellas Salute","PG","Sci-Fi","4.99","3.32","1.67"
985,"Wonderland Christmas","PG","Sci-Fi","4.99","3.32","1.67"
637,"Open African","PG","Sci-Fi","4.99","3.32","1.67"
912,"Trojan Tomorrow","PG","Sci-Fi","2.99","3.32","-0.33"
798,"Silverado Goldfinger","PG","Sci-Fi","4.99","3.32","1.67"
924,"Unforgiven Zoolander","PG","Sci-Fi","0.99","3.32","-2.33"
602,"Mourning Purple","PG","Sci-Fi","0.99","3.32","-2.33"
132,"Chainsaw Uptown","PG","Sci-Fi","0.99","3.32","-2.33"
338,"Frisco Forrest","PG","Sci-Fi","4.99","3.32","1.67"
137,"Charade Duffel","PG","Sci-Fi","2.99","3.32","-0.33"
374,"Graffiti Love","PG","Sci-Fi","0.99","3.32","-2.33"
681,"Pirates Roxanne","PG","Sports","0.99","3.62","-2.63"
420,"Holes Brannigan","PG","Sports","4.99","3.62","1.37"
532,"Loser Hustler","PG","Sports","4.99","3.62","1.37"
577,"Mile Mulan","PG","Sports","0.99","3.62","-2.63"
902,"Trading Pinocchio","PG","Sports","4.99","3.62","1.37"
875,"Talented Homicide","PG","Sports","0.99","3.62","-2.63"
844,"Steers Armageddon","PG","Sports","4.99","3.62","1.37"
841,"Star Operation","PG","Sports","2.99","3.62","-0.63"
836,"Squad Fish","PG","Sports","2.99","3.62","-0.63"
777,"Secretary Rouge","PG","Sports","4.99","3.62","1.37"
463,"Instinct Airport","PG","Sports","2.99","3.62","-0.63"
628,"Northwest Polish","PG","Sports","2.99","3.62","-0.63"
446,"Hysterical Grail","PG","Sports","4.99","3.62","1.37"
729,"Rider Caddyshack","PG","Sports","2.99","3.62","-0.63"
668,"Peak Forever","PG","Sports","4.99","3.62","1.37"
719,"Records Zorro","PG","Sports","4.99","3.62","1.37"
103,"Bucket Brotherhood","PG","Travel","4.99","2.99","2.00"
868,"Superfly Trip","PG","Travel","0.99","2.99","-2.00"
914,"Trouble Date","PG","Travel","2.99","2.99","0.00"
518,"Liaisons Sweet","PG","Travel","4.99","2.99","2.00"
645,"Others Soup","PG","Travel","2.99","2.99","0.00"
88,"Born Spinal","PG","Travel","4.99","2.99","2.00"
656,"Papi Necklace","PG","Travel","0.99","2.99","-2.00"
41,"Arsenic Independence","PG","Travel","0.99","2.99","-2.00"
233,"Disciple Mother","PG","Travel","0.99","2.99","-2.00"
785,"Shawshank Bubble","PG","Travel","4.99","2.99","2.00"
784,"Shanghai Tycoon","PG","Travel","2.99","2.99","0.00"
894,"Tomatoes Hellfighters","PG","Travel","0.99","2.99","-2.00"
783,"Shane Darkness","PG","Travel","2.99","2.99","0.00"
84,"Boiled Dares","PG","Travel","4.99","2.99","2.00"
659,"Park Citizen","PG-13","Action","4.99","2.99","2.00"
530,"Lord Arizona","PG-13","Action","2.99","2.99","0.00"
549,"Magnolia Forrester","PG-13","Action","0.99","2.99","-2.00"
911,"Trip Newton","PG-13","Action","4.99","2.99","2.00"
253,"Drifter Commandments","PG-13","Action","4.99","2.99","2.00"
579,"Minds Truman","PG-13","Action","4.99","2.99","2.00"
825,"Speakeasy Date","PG-13","Action","2.99","2.99","0.00"
67,"Berets Agent","PG-13","Action","2.99","2.99","0.00"
748,"Rugrats Shakespeare","PG-13","Action","0.99","2.99","-2.00"
130,"Celebrity Horn","PG-13","Action","0.99","2.99","-2.00"
303,"Fantasy Troopers","PG-13","Action","0.99","2.99","-2.00"
953,"Wait Cider","PG-13","Animation","0.99","2.67","-1.68"
865,"Sunrise League","PG-13","Animation","4.99","2.67","2.32"
325,"Floats Garden","PG-13","Animation","2.99","2.67","0.32"
615,"Nash Chocolat","PG-13","Animation","2.99","2.67","0.32"
583,"Mission Zoolander","PG-13","Animation","4.99","2.67","2.32"
880,"Telemark Heartbreakers","PG-13","Animation","2.99","2.67","0.32"
582,"Miracle Virtual","PG-13","Animation","2.99","2.67","0.32"
886,"Theory Mermaid","PG-13","Animation","0.99","2.67","-1.68"
887,"Thief Pelican","PG-13","Animation","4.99","2.67","2.32"
464,"Intentions Empire","PG-13","Animation","2.99","2.67","0.32"
18,"Alter Victory","PG-13","Animation","0.99","2.67","-1.68"
36,"Argonauts Town","PG-13","Animation","0.99","2.67","-1.68"
300,"Falcon Volume","PG-13","Animation","4.99","2.67","2.32"
651,"Packer Madigan","PG-13","Animation","0.99","2.67","-1.68"
160,"Club Graffiti","PG-13","Animation","0.99","2.67","-1.68"
690,"Pond Seattle","PG-13","Animation","2.99","2.67","0.32"
489,"Juggler Hardly","PG-13","Animation","0.99","2.67","-1.68"
349,"Gangs Pride","PG-13","Animation","2.99","2.67","0.32"
208,"Dares Pluto","PG-13","Animation","2.99","2.67","0.32"
553,"Maker Gables","PG-13","Children","0.99","3.13","-2.14"
191,"Crooked Frogmen","PG-13","Children","0.99","3.13","-2.14"
993,"Wrong Behavior","PG-13","Children","2.99","3.13","-0.14"
157,"Clockwork Paradise","PG-13","Children","0.99","3.13","-2.14"
768,"Scarface Bang","PG-13","Children","4.99","3.13","1.86"
124,"Casper Dragonfly","PG-13","Children","4.99","3.13","1.86"
801,"Sister Freddy","PG-13","Children","4.99","3.13","1.86"
214,"Daughter Madigan","PG-13","Children","4.99","3.13","1.86"
344,"Fury Murder","PG-13","Children","0.99","3.13","-2.14"
573,"Microcosmos Paradise","PG-13","Children","2.99","3.13","-0.14"
505,"Labyrinth League","PG-13","Children","2.99","3.13","-0.14"
735,"Robbers Joon","PG-13","Children","2.99","3.13","-0.14"
48,"Backlash Undefeated","PG-13","Children","4.99","3.13","1.86"
152,"Circus Youth","PG-13","Children","2.99","3.13","-0.14"
744,"Roots Remember","PG-13","Classics","0.99","3.30","-2.31"
266,"Dynamite Tarzan","PG-13","Classics","0.99","3.30","-2.31"
951,"Voyage Legally","PG-13","Classics","0.99","3.30","-2.31"
228,"Detective Vision","PG-13","Classics","0.99","3.30","-2.31"
815,"Snatchers Montezuma","PG-13","Classics","2.99","3.30","-0.31"
731,"Right Cranes","PG-13","Classics","4.99","3.30","1.69"
184,"Core Suit","PG-13","Classics","2.99","3.30","-0.31"
694,"Prejudice Oleander","PG-13","Classics","4.99","3.30","1.69"
180,"Conspiracy Spirit","PG-13","Classics","2.99","3.30","-0.31"
633,"October Submarine","PG-13","Classics","4.99","3.30","1.69"
487,"Jingle Sagebrush","PG-13","Classics","4.99","3.30","1.69"
578,"Million Ace","PG-13","Classics","4.99","3.30","1.69"
512,"League Hellfighters","PG-13","Classics","4.99","3.30","1.69"
754,"Rushmore Mermaid","PG-13","Comedy","2.99","3.66","-0.67"
756,"Saddle Antitrust","PG-13","Comedy","2.99","3.66","-0.67"
905,"Trainspotting Strangers","PG-13","Comedy","4.99","3.66","1.33"
385,"Groundhog Uncut","PG-13","Comedy","4.99","3.66","1.33"
672,"Perfect Groove","PG-13","Comedy","2.99","3.66","-0.67"
